Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004872756.1,Q5XKE5,Bos taurus,KRT5,"Keratin, type II cytoskeletal 79 OS=Homo ",8.00E-179
XP_004872741.1,A5PKC7,Bos taurus,CXorf49,Uncharacterized protein CXorf49 homolog ,5.00E-67
XP_004872725.1,Q99966,Bos taurus,Rps4x,Cbp/p300-interacting transactivator 1 OS=Homo ,0
XP_004872709.1,Q9UKP3,Bos taurus,CHORDC1,Integrin beta-1-binding protein 2 OS=Homo ,8.00E-79
XP_004872708.1,Q9UKP3,Bos taurus,CHORDC1,Integrin beta-1-binding protein 2 OS=Homo ,1.00E-96
XP_004872665.1,Q6QA76,Bos taurus,Lin7a,PDZ domain-containing protein 11 OS=Sus scrofa ,1.00E-13
XP_004872663.1,Q6QA76,Bos taurus,Lin7a,PDZ domain-containing protein 11 OS=Sus scrofa ,2.00E-13
XP_004921271.1,Q5H9J7,Bos taurus,Slc25a36,Protein BEX5 OS=Homo sapiens GN=BEX5 PE=2 ,0
XP_004872631.1,Q3ZBS8,Bos taurus,TIMM8A,Mitochondrial import inner membrane translocase ,2.00E-60
XP_004872587.1,Q86YV0,Bos taurus,RASAL3,RAS protein activator like-3 OS=Homo sapiens ,0
XP_004872571.1,Q2YDN4,Bos taurus,CCDC105,Coiled-coil domain-containing protein 105 ,0
XP_004872562.1,Q02368,Bos taurus,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta ,4.00E-66
XP_004872561.1,Q9NZ01,Bos taurus,TECR,"Trans-2,3-enoyl-CoA reductase OS=Homo sapiens ",0
XP_004872560.1,Q9NZ01,Bos taurus,TECR,"Trans-2,3-enoyl-CoA reductase OS=Homo sapiens ",0
XP_004872552.1,P70597,Bos taurus,PTGFR,Prostaglandin E2 receptor EP1 subtype OS=Rattus ,3.00E-12
XP_004872536.1,P48960,Bos taurus,Cd97,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 ,0
XP_004872535.1,P48960,Bos taurus,Cd97,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 ,0
XP_004872534.1,P48960,Bos taurus,Cd97,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 ,0
XP_004872533.1,Q80TR1,Bos taurus,LPHN2,Latrophilin-1 OS=Mus musculus GN=Lphn1 ,0
XP_004872531.1,Q80TR1,Bos taurus,LPHN2,Latrophilin-1 OS=Mus musculus GN=Lphn1 ,0
XP_004872529.1,Q9NVP2,Bos taurus,Asf1b,Histone chaperone ASF1B OS=Homo sapiens ,1.00E-127
XP_004872460.1,Q2KHZ9,Bos taurus,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial ",0
XP_004872450.1,O75792,Bos taurus,RNASEH2A,Ribonuclease H2 subunit A OS=Homo sapiens ,0
XP_004872449.1,O75792,Bos taurus,RNASEH2A,Ribonuclease H2 subunit A OS=Homo sapiens ,6.00E-155
XP_004872428.1,Q6AY53,Bos taurus,dhps,Deoxyhypusine synthase OS=Rattus norvegicus ,2.00E-140
XP_004872427.1,Q6AY53,Bos taurus,dhps,Deoxyhypusine synthase OS=Rattus norvegicus ,1.00E-178
XP_004872406.1,P26583,Bos taurus,HMGB2,High mobility group protein B2 OS=Homo ,7.00E-91
XP_004872389.1,Q9Y251,Bos taurus,Hpse,Heparanase OS=Homo sapiens GN=HPSE PE=1 ,8.00E-155
XP_004872386.1,Q9JI48,Bos taurus,cnfn-B,Placenta-specific gene 8 protein OS=Mus ,9.00E-16
XP_004872385.1,Q9JI48,Bos taurus,cnfn-B,Placenta-specific gene 8 protein OS=Mus ,9.00E-16
XP_004872384.1,Q9JI48,Bos taurus,cnfn-B,Placenta-specific gene 8 protein OS=Mus ,9.00E-16
XP_004872377.1,P06756,Bos taurus,if,Integrin alpha-V OS=Homo sapiens GN=ITGAV ,3.00E-98
XP_004872331.1,Q9JJV2,Bos taurus,PFN2,Profilin-2 OS=Mus musculus GN=Pfn2 PE=1 ,8.00E-16
XP_004872326.1,Q58DL7,Bos taurus,Arhgef9,Rho guanine nucleotide exchange factor ,0
XP_004872325.1,Q58DL7,Bos taurus,Arhgef9,Rho guanine nucleotide exchange factor ,0
XP_004872279.1,Q9BUR5,Bos taurus,APOO,Apolipoprotein O OS=Homo sapiens GN=APOO ,2.00E-125
XP_004872277.1,Q9BUR5,Bos taurus,APOOL,Apolipoprotein O OS=Homo sapiens GN=APOO ,1.00E-26
XP_004872262.1,Q2KJC8,Bos taurus,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9 ,0
XP_004872261.1,Q2KJC8,Bos taurus,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9 ,0
XP_004872260.1,Q2KJC8,Bos taurus,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9 ,0
XP_004872259.1,Q2KJC8,Bos taurus,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9 ,0
XP_004872258.1,Q2KJC8,Bos taurus,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9 ,0
XP_004872230.1,Q9ULL0,Bos taurus,RNF113A,Uncharacterized protein KIAA1210 OS=Homo ,0
XP_004872220.1,Q14141,Bos taurus,6-Sep,Septin-6 OS=Homo sapiens GN=SEPT6 PE=1 ,0
XP_004872153.1,A5PJU6,Bos taurus,AGPHD1,Aminoglycoside phosphotransferase domain-containing ,0
XP_004872152.1,A5PJU6,Bos taurus,AGPHD1,Aminoglycoside phosphotransferase domain-containing ,0
XP_004872151.1,A5PJU6,Bos taurus,AGPHD1,Aminoglycoside phosphotransferase domain-containing ,0
XP_004872150.1,P25789,Bos taurus,PSMA4,Proteasome subunit alpha type-4 OS=Homo ,8.00E-177
XP_004872149.1,P25789,Bos taurus,PSMA4,Proteasome subunit alpha type-4 OS=Homo ,1.00E-162
XP_004872112.1,Q3T0M3,Bos taurus,IMP3,U3 small nucleolar ribonucleoprotein protein ,2.00E-126
XP_004872071.1,Q9MZE2,Bos taurus,BMP15,Bone morphogenetic protein 15 OS=Ovis aries ,0
XP_004872024.1,Q9R0M8,Bos taurus,SLC35A2,UDP-galactose translocator OS=Mus musculus ,5.00E-161
XP_004872023.1,Q9R0M8,Bos taurus,SLC35A2,UDP-galactose translocator OS=Mus musculus ,1.00E-133
XP_004872009.1,Q2NL30,Bos taurus,SUV39H1,Histone-lysine N-methyltransferase SUV39H1 ,0
XP_004872008.1,Q2NL30,Bos taurus,SUV39H1,Histone-lysine N-methyltransferase SUV39H1 ,0
XP_004872007.1,Q2NL30,Bos taurus,SUV39H1,Histone-lysine N-methyltransferase SUV39H1 ,0
XP_004871955.1,Q2TA24,Bos taurus,ATP6V0B,V-type proton ATPase 21 kDa proteolipid ,5.00E-127
XP_004871911.1,Q06806,Bos taurus,TEK,Tyrosine-protein kinase receptor Tie-1 OS=Mus ,0
XP_004871910.1,Q06806,Bos taurus,Tek,Tyrosine-protein kinase receptor Tie-1 OS=Mus ,0
XP_004871890.1,Q32LJ0,Bos taurus,CCDC23,Coiled-coil domain-containing protein 23 ,5.00E-38
XP_004871889.1,Q32LJ0,Bos taurus,CCDC23,Coiled-coil domain-containing protein 23 ,5.00E-38
XP_004871845.1,Q5E9X1,Bos taurus,Nfyc,Nuclear transcription factor Y subunit gamma ,7.00E-132
XP_004871844.1,Q5E9X1,Bos taurus,NFYC,Nuclear transcription factor Y subunit gamma ,2.00E-113
XP_004871843.1,Q5E9X1,Bos taurus,NFYC,Nuclear transcription factor Y subunit gamma ,9.00E-148
XP_004871842.1,Q5E9X1,Bos taurus,Nfyc,Nuclear transcription factor Y subunit gamma ,7.00E-147
XP_004871841.1,Q5E9X1,Bos taurus,Nfyc,Nuclear transcription factor Y subunit gamma ,2.00E-148
XP_004871822.1,O54693,Bos taurus,EDA,Ectodysplasin-A OS=Mus musculus GN=Eda PE=2 ,1.00E-98
XP_004871779.1,Q3T0Y3,Bos taurus,SULT1B1,Sulfotransferase family cytosolic 1B member ,8.00E-170
XP_004871696.1,Q02365,Bos taurus,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta ,4.00E-40
XP_004871695.1,Q02365,Bos taurus,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta ,4.00E-40
XP_004871694.1,Q02365,Bos taurus,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta ,4.00E-40
XP_004871693.1,Q02365,Bos taurus,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta ,9.00E-40
XP_004871665.1,Q6I9Y2,Bos taurus,THOC7,THO complex subunit 7 homolog OS=Homo sapiens ,3.00E-121
XP_004871576.1,Q17Q91,Bos taurus,Chchd7,Coiled-coil-helix-coiled-coil-helix domain-containing ,3.00E-48
XP_004871575.1,Q7TQA3,Bos taurus,SDR16C6,Epidermal retinol dehydrogenase 2 OS=Mus ,1.00E-105
XP_004871567.1,Q9NX62,Bos taurus,IMPAD1,Inositol monophosphatase 3 OS=Homo sapiens ,0
XP_004871560.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871559.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871558.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871557.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871556.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871555.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871554.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871553.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871552.1,P10242,Bos taurus,MYB,Transcriptional activator Myb OS=Homo sapiens ,0
XP_004871450.1,P51153,Bos taurus,RAB13,Ras-related protein Rab-13 OS=Homo sapiens ,5.00E-103
XP_004871449.1,P51153,Bos taurus,RAB13,Ras-related protein Rab-13 OS=Homo sapiens ,2.00E-129
XP_004871441.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,3.00E-93
XP_004871440.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,7.00E-94
XP_004871439.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,7.00E-94
XP_004871435.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,9.00E-94
XP_004871434.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,8.00E-108
XP_004871433.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,2.00E-122
XP_004871432.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,1.00E-123
XP_004871430.1,P06753,Bos taurus,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens ,8.00E-106
XP_004871426.1,Q5VU69,Bos taurus,UBAP2L,Uncharacterized protein C1orf189 OS=Homo ,0
XP_004871414.1,O00165,Bos taurus,HAX1,HCLS1-associated protein X-1 OS=Homo sapiens ,1.00E-98
XP_004871413.1,O00165,Bos taurus,HAX1,HCLS1-associated protein X-1 OS=Homo sapiens ,7.00E-96
XP_004871412.1,O00165,Bos taurus,HAX1,HCLS1-associated protein X-1 OS=Homo sapiens ,1.00E-96
XP_004871384.1,Q5M824,Bos taurus,SHC1,SHC-transforming protein 1 OS=Rattus norvegicus ,0
XP_004871352.1,Q3ZC71,Bos taurus,Dpm3,Dolichol-phosphate mannosyltransferase subunit ,4.00E-40
XP_004871351.1,Q3ZC71,Bos taurus,Dpm3,Dolichol-phosphate mannosyltransferase subunit ,4.00E-40
XP_004871334.1,Q58DR5,Bos taurus,SCAMP3,Secretory carrier-associated membrane protein ,3.00E-137
XP_004871333.1,Q58DR5,Bos taurus,SCAMP3,Secretory carrier-associated membrane protein ,4.00E-159
XP_004871292.1,Q2YDK1,Bos taurus,ISG20L2,Interferon-stimulated 20 kDa exonuclease-like ,2.00E-179
XP_004871291.1,Q5PXY7,Bos taurus,CRABP2,Cellular retinoic acid-binding protein ,2.00E-95
XP_004871289.1,Q96GW7,Bos taurus,Bcan,Brevican core protein OS=Homo sapiens GN=BCAN ,0
XP_004871288.1,Q96GW7,Bos taurus,Bcan,Brevican core protein OS=Homo sapiens GN=BCAN ,0
XP_004871259.1,Q8WWB7,Bos taurus,si:dkey-263h23.3,Lysosomal protein NCU-G1 OS=Homo sapiens ,4.00E-48
XP_004871258.1,Q8WWB7,Bos taurus,si:dkey-263h23.3,Lysosomal protein NCU-G1 OS=Homo sapiens ,6.00E-48
XP_004871256.1,Q8WWB7,Bos taurus,si:dkey-263h23.3,Lysosomal protein NCU-G1 OS=Homo sapiens ,6.00E-59
XP_004871192.1,P14324,Bos taurus,FDPS,Farnesyl pyrophosphate synthase OS=Homo ,0
XP_004871191.1,P14324,Bos taurus,FDPS,Farnesyl pyrophosphate synthase OS=Homo ,0
XP_004871190.1,P14324,Bos taurus,FDPS,Farnesyl pyrophosphate synthase OS=Homo ,0
XP_004871187.1,P05109,Bos taurus,S100B,Protein S100-A8 OS=Homo sapiens GN=S100A8 ,1.00E-11
XP_004871183.1,Q5T870,Bos taurus,Sprr1b,Proline-rich protein 9 OS=Homo sapiens GN=PRR9 ,1.00E-38
XP_004871157.1,Q9NZ32,Bos taurus,ACTR10,Actin-related protein 10 OS=Homo sapiens ,0
XP_004871156.1,Q86TY3,Bos taurus,C14orf37,Uncharacterized protein C14orf37 OS=Homo ,0
XP_004871154.1,Q86TY3,Bos taurus,C14orf37,Uncharacterized protein C14orf37 OS=Homo ,0
XP_004871152.1,Q86TY3,Bos taurus,Slc35f4,Uncharacterized protein C14orf37 OS=Homo ,0
XP_004871120.1,Q3ZBE9,Bos taurus,NSDHL,"Sterol-4-alpha-carboxylate 3-dehydrogenase, ",0
XP_004871119.1,Q3ZBE9,Bos taurus,NSDHL,"Sterol-4-alpha-carboxylate 3-dehydrogenase, ",0
XP_004871114.1,P41208,Bos taurus,Cetn2,Centrin-2 OS=Homo sapiens GN=CETN2 PE=1 ,7.00E-78
XP_004871085.1,P53701,Bos taurus,HCCS,Cytochrome c-type heme lyase OS=Homo sapiens ,2.00E-155
XP_004871084.1,P53701,Bos taurus,HCCS,Cytochrome c-type heme lyase OS=Homo sapiens ,2.00E-155
XP_004871083.1,P53701,Bos taurus,HCCS,Cytochrome c-type heme lyase OS=Homo sapiens ,2.00E-155
XP_004871082.1,P53701,Bos taurus,HCCS,Cytochrome c-type heme lyase OS=Homo sapiens ,2.00E-155
XP_004871081.1,P53701,Bos taurus,HCCS,Cytochrome c-type heme lyase OS=Homo sapiens ,2.00E-155
XP_004870964.1,Q6NUN7,Bos taurus,C11orf63,Uncharacterized protein C11orf63 OS=Homo ,0
XP_004870962.1,Q6NUN7,Bos taurus,C11orf63,Uncharacterized protein C11orf63 OS=Homo ,0
XP_004870960.1,Q6NUN7,Bos taurus,C11orf63,Uncharacterized protein C11orf63 OS=Homo ,0
XP_004870958.1,Q6NUN7,Bos taurus,GSX2,Uncharacterized protein C11orf63 OS=Homo ,1.00E-121
XP_004870892.1,Q32PF3,Bos taurus,PCNP,PEST proteolytic signal-containing nuclear ,2.00E-70
XP_004870888.1,Q9Z0S6,Bos taurus,CLDN10,Claudin-10A OS=Mus musculus GN=Cldn10a ,2.00E-105
XP_004870887.1,Q9Z0S6,Bos taurus,CLDN10,Claudin-10A OS=Mus musculus GN=Cldn10a ,9.00E-112
XP_004870886.1,Q9Z0S6,Bos taurus,CLDN10,Claudin-10A OS=Mus musculus GN=Cldn10a ,7.00E-156
XP_004870861.1,Q86XS5,Bos taurus,FGL2,Angiopoietin-related protein 5 OS=Homo ,2.00E-37
XP_004870858.1,Q2HJH8,Bos taurus,C11orf70,Uncharacterized protein C11orf70 homolog ,8.00E-48
XP_004870857.1,Q2HJH8,Bos taurus,C11orf70,Uncharacterized protein C11orf70 homolog ,3.00E-122
XP_004870856.1,Q9BRQ4,Bos taurus,C11orf70,Uncharacterized protein C11orf70 OS=Homo ,3.00E-170
XP_004870834.1,P11766,Bos taurus,ADH5,Alcohol dehydrogenase class-3 OS=Homo sapiens ,0
XP_004921261.1,A2RUQ5,Bos taurus,RHOT1,Uncharacterized protein C17orf102 OS=Homo ,0
XP_004870709.1,O00623,Bos taurus,PEX12,Peroxisome assembly protein 12 OS=Homo ,0
XP_004870693.1,Q2YDH8,Bos taurus,FNDC8,Fibronectin type III domain-containing ,6.00E-117
XP_004870692.1,Q2YDH8,Bos taurus,FNDC8,Fibronectin type III domain-containing ,9.00E-150
XP_004870676.1,Q09141,Bos taurus,CCL2,C-C motif chemokine 8 OS=Bos taurus GN=CCL8 ,2.00E-33
XP_004870674.1,Q08782,Bos taurus,CCL2,C-C motif chemokine 2 OS=Cavia porcellus ,9.00E-33
XP_004870673.1,Q08782,Bos taurus,CCL2,C-C motif chemokine 2 OS=Cavia porcellus ,7.00E-36
XP_004870672.1,Q08782,Bos taurus,CCL2,C-C motif chemokine 2 OS=Cavia porcellus ,8.00E-35
XP_004870623.1,Q8IZA3,Bos taurus,H1foo,Histone H1oo OS=Homo sapiens GN=H1FOO PE=2 ,4.00E-32
XP_004870494.1,Q5R5R2,Bos taurus,BRIP1,HEAT repeat-containing protein 6 OS=Pongo ,0
XP_004870420.1,Q91ZQ0,Bos taurus,TMEM49,Transmembrane protein 49 OS=Rattus norvegicus ,0
XP_004870419.1,Q91ZQ0,Bos taurus,TMEM49,Transmembrane protein 49 OS=Rattus norvegicus ,0
XP_004870418.1,Q91ZQ0,Bos taurus,TMEM49,Transmembrane protein 49 OS=Rattus norvegicus ,0
XP_004870417.1,Q3ZBL5,Bos taurus,PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial ",2.00E-107
XP_004870416.1,Q00610,Bos taurus,Cltc,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC ,0
XP_004870370.1,P22079,Bos taurus,MPO,Lactoperoxidase OS=Homo sapiens GN=LPO PE=1 ,0
XP_004870369.1,P22079,Bos taurus,MPO,Lactoperoxidase OS=Homo sapiens GN=LPO PE=1 ,0
XP_004870365.1,O60701,Bos taurus,UGDH,UDP-glucose 6-dehydrogenase OS=Homo sapiens ,3.00E-30
XP_004870363.1,Q5E9X2,Bos taurus,Map2k6,Dual specificity mitogen-activated protein ,0
XP_004870351.1,O43766,Bos taurus,LIAS,"Lipoyl synthase, mitochondrial OS=Homo sapiens ",0
XP_004870349.1,Q2KIK3,Bos taurus,C4orf34,Uncharacterized protein C4orf34 homolog ,3.00E-63
XP_004870348.1,Q2KIK3,Bos taurus,C4orf34,Uncharacterized protein C4orf34 homolog ,3.00E-63
XP_004870279.1,Q7YRF1,Bos taurus,AP3B1,AP-3 complex subunit beta-1 OS=Canis familiaris ,0
XP_004870271.1,Q6PIY7,Bos taurus,PAPD4,Poly(A) RNA polymerase GLD2 OS=Homo sapiens ,0
XP_004870270.1,Q6PIY7,Bos taurus,PAPD4,Poly(A) RNA polymerase GLD2 OS=Homo sapiens ,0
XP_004870269.1,Q86YM7,Bos taurus,Homer1,Homer protein homolog 1 OS=Homo sapiens ,0
XP_004870246.1,Q5RAQ8,Bos taurus,RPS24,40S ribosomal protein S24 OS=Pongo abelii ,2.00E-55
XP_004870226.1,P25116,Bos taurus,F2R,Proteinase-activated receptor 1 OS=Homo ,0
XP_004870187.1,A6NDV4,Bos taurus,TMEM8B,Transmembrane protein 8B OS=Homo sapiens ,0
XP_004870135.1,Q99MQ4,Bos taurus,ASPN,Asporin OS=Mus musculus GN=Aspn PE=1 SV=1,0
XP_004870127.1,Q9D1I2,Bos taurus,C9orf89,Bcl10-interacting CARD protein OS=Mus musculus ,1.00E-47
XP_004870125.1,Q9D1I2,Bos taurus,C9orf89,Bcl10-interacting CARD protein OS=Mus musculus ,1.00E-47
XP_004870116.1,A7E379,Bos taurus,PTPDC1,Protein tyrosine phosphatase domain-containing ,0
XP_004870115.1,A7E379,Bos taurus,PTPDC1,Protein tyrosine phosphatase domain-containing ,0
XP_004870063.1,Q13287,Bos taurus,Nmi,N-myc-interactor OS=Homo sapiens GN=NMI PE=1 ,2.00E-139
XP_004870062.1,Q13287,Bos taurus,Nmi,N-myc-interactor OS=Homo sapiens GN=NMI PE=1 ,2.00E-139
XP_004870004.1,Q96LR7,Bos taurus,Pqlc3,Uncharacterized protein C2orf50 OS=Homo ,1.00E-90
XP_004870000.1,O75461,Bos taurus,E2F6,Transcription factor E2F6 OS=Homo sapiens ,5.00E-126
XP_004869999.1,O75461,Bos taurus,E2F6,Transcription factor E2F6 OS=Homo sapiens ,2.00E-164
XP_004869848.1,Q0VAX3,Bos taurus,Fads2,Fatty acid desaturase 2-like protein OS=Mus ,0
XP_004869836.1,Q2NKR1,Bos taurus,Timm10,Mitochondrial import inner membrane translocase ,2.00E-59
XP_004869733.1,Q02827,Bos taurus,Ndufc2,NADH dehydrogenase [ubiquinone] 1 subunit ,9.00E-58
XP_004869732.1,Q02827,Bos taurus,Ndufc2,NADH dehydrogenase [ubiquinone] 1 subunit ,8.00E-48
XP_004869685.1,P07357,Bos taurus,C8b,Complement component C8 alpha chain OS=Homo ,6.00E-56
XP_004869684.1,P07357,Bos taurus,C6,Complement component C8 alpha chain OS=Homo ,4.00E-71
XP_004869682.1,P07357,Bos taurus,C6,Complement component C8 alpha chain OS=Homo ,3.00E-71
XP_004869603.1,A8MTZ7,Bos taurus,NANOG,Uncharacterized protein C12orf71 OS=Homo ,2.00E-54
XP_004869587.1,Q32P59,Bos taurus,Slirp,"SRA stem-loop-interacting RNA-binding protein, ",8.00E-45
XP_004869581.1,Q3T093,Bos taurus,NECAP1,Adaptin ear-binding coat-associated protein ,2.00E-164
XP_004869542.1,Q99JH7,Bos taurus,cals,Calsyntenin-3 OS=Mus musculus GN=Clstn3 ,6.00E-90
XP_004869541.1,Q99JH7,Bos taurus,cals,Calsyntenin-3 OS=Mus musculus GN=Clstn3 ,6.00E-90
XP_004869522.1,Q32KP2,Bos taurus,Lrrc23,Leucine-rich repeat-containing protein ,9.00E-152
XP_004869521.1,Q32KP2,Bos taurus,Lrrc23,Leucine-rich repeat-containing protein ,9.00E-152
XP_004869520.1,Q32KP2,Bos taurus,Lrrc23,Leucine-rich repeat-containing protein ,9.00E-152
XP_004869519.1,Q32KP2,Bos taurus,Lrrc23,Leucine-rich repeat-containing protein ,9.00E-152
XP_004869428.1,P34943,Bos taurus,NDUFA9,NADH dehydrogenase [ubiquinone] 1 alpha ,0
XP_004869427.1,P34943,Bos taurus,NDUFA9,NADH dehydrogenase [ubiquinone] 1 alpha ,0
XP_004869405.1,A1L157,Bos taurus,CD151,Tetraspanin-11 OS=Homo sapiens GN=TSPAN11 ,3.00E-83
XP_004921255.1,Q2M2T8,Bos taurus,C1orf185,Uncharacterized protein C1orf185 homolog ,1.00E-16
XP_004869378.1,Q9Y3C5,Bos taurus,Rnf11,RING finger protein 11 OS=Homo sapiens ,5.00E-56
XP_004869333.1,A6QQ94,Bos taurus,DMRTA2,Doublesex- and mab-3-related transcription ,8.00E-174
XP_004869310.1,P20337,Bos taurus,RAB3B,Ras-related protein Rab-3B OS=Homo sapiens ,3.00E-155
XP_004869309.1,P20337,Bos taurus,RAB3B,Ras-related protein Rab-3B OS=Homo sapiens ,3.00E-155
XP_004869307.1,Q96EK9,Bos taurus,Kti12,Protein KTI12 homolog OS=Homo sapiens GN=KTI12 ,4.00E-165
XP_004869263.1,A2VDJ0,Bos taurus,Kiaa0922,Transmembrane protein 131-like OS=Homo ,0
XP_004869257.1,Q32L19,Bos taurus,MND1,Meiotic nuclear division protein 1 homolog ,6.00E-112
XP_004869256.1,Q32L19,Bos taurus,MND1,Meiotic nuclear division protein 1 homolog ,6.00E-117
XP_004869255.1,Q32L19,Bos taurus,MND1,Meiotic nuclear division protein 1 homolog ,7.00E-127
XP_004869229.1,P61247,Bos taurus,RPS3A,40S ribosomal protein S3a OS=Homo sapiens ,2.00E-113
XP_004869197.1,Q9H2P9,Bos taurus,dph5,Diphthine synthase OS=Homo sapiens GN=DPH5 ,4.00E-118
XP_004869196.1,Q8NEW0,Bos taurus,slc30a7-A,Zinc transporter 7 OS=Homo sapiens GN=SLC30A7 ,3.00E-156
XP_004869174.1,O77592,Bos taurus,SLC35A2,UDP-N-acetylglucosamine transporter OS=Canis ,5.00E-62
XP_004869173.1,O77592,Bos taurus,SLC35A2,UDP-N-acetylglucosamine transporter OS=Canis ,1.00E-73
XP_004869172.1,O77592,Bos taurus,SLC35A2,UDP-N-acetylglucosamine transporter OS=Canis ,1.00E-73
XP_004869171.1,O77592,Bos taurus,SLC35A2,UDP-N-acetylglucosamine transporter OS=Canis ,3.00E-88
XP_004869153.1,Q0P5N2,Bos taurus,TSPYL1,Testis-specific Y-encoded-like protein ,3.00E-133
XP_004869130.1,Q9UL01,Bos taurus,DSE,Dermatan-sulfate epimerase OS=Homo sapiens ,0
XP_004869129.1,Q9UL01,Bos taurus,DSE,Dermatan-sulfate epimerase OS=Homo sapiens ,0
XP_004869090.1,P56984,Bos taurus,TMEM14A,Transmembrane protein 14A OS=Sus scrofa GN=TMEM14A ,3.00E-46
XP_004869089.1,P56984,Bos taurus,TMEM14A,Transmembrane protein 14A OS=Sus scrofa GN=TMEM14A ,3.00E-46
XP_004869088.1,P56984,Bos taurus,TMEM14A,Transmembrane protein 14A OS=Sus scrofa GN=TMEM14A ,3.00E-46
XP_004869087.1,P56984,Bos taurus,TMEM14A,Transmembrane protein 14A OS=Sus scrofa GN=TMEM14A ,3.00E-46
XP_004869086.1,P56984,Bos taurus,TMEM14A,Transmembrane protein 14A OS=Sus scrofa GN=TMEM14A ,3.00E-46
XP_004869085.1,P56984,Bos taurus,TMEM14A,Transmembrane protein 14A OS=Sus scrofa GN=TMEM14A ,3.00E-46
XP_004869013.1,Q96AH0,Bos taurus,Obfc2a,SOSS complex subunit B2 OS=Homo sapiens ,3.00E-58
XP_004869011.1,Q9UIK5,Bos taurus,AGRN,Tomoregulin-2 OS=Homo sapiens GN=TMEFF2 ,8.00E-16
XP_004868993.1,P25101,Bos taurus,EDNRA,Endothelin-1 receptor OS=Homo sapiens GN=EDNRA ,2.00E-164
XP_004868989.1,P02316,Bos taurus,Hmgn1,Non-histone chromosomal protein HMG-14 ,3.00E-24
XP_004868968.1,Q1JQA2,Bos taurus,SMAD1,Mothers against decapentaplegic homolog ,0
XP_004868967.1,Q1JQA2,Bos taurus,SMAD1,Mothers against decapentaplegic homolog ,0
XP_004868939.1,Q6UXV4,Bos taurus,APOOL,Apolipoprotein O-like OS=Homo sapiens GN=APOOL ,1.00E-94
XP_004921253.1,O15217,Bos taurus,GSTA4,Glutathione S-transferase A4 OS=Homo sapiens ,1.00E-117
XP_004868848.1,Q2T9P0,Bos taurus,EFCAB3,EF-hand calcium-binding domain-containing ,0
XP_004868783.1,Q8NFG4,Bos taurus,Flcn,Folliculin OS=Homo sapiens GN=FLCN PE=1 ,0
XP_004868782.1,Q8NFG4,Bos taurus,Flcn,Folliculin OS=Homo sapiens GN=FLCN PE=1 ,0
XP_004868781.1,Q8NFG4,Bos taurus,Flcn,Folliculin OS=Homo sapiens GN=FLCN PE=1 ,0
XP_004868780.1,Q8NFG4,Bos taurus,Flcn,Folliculin OS=Homo sapiens GN=FLCN PE=1 ,0
XP_004868706.1,A7Z061,Bos taurus,CDC27,Cell division cycle protein 27 homolog ,0
XP_004868705.1,A7Z061,Bos taurus,CDC27,Cell division cycle protein 27 homolog ,0
XP_004868704.1,A7Z061,Bos taurus,CDC27,Cell division cycle protein 27 homolog ,0
